Title,Bucket,Level,Domain,Task Type,Priority,Owner,Supporting Owners,Dependencies,Labels,Description,Definition of Done
Confirm Level 1 FCI scope,L1 Foundation,Level 1,Program,Prep,Critical,Ryan Lin,"Joshua Hornback; Andy Volk; Sulaiman Ahmad","Existing level_1 artifacts; handbook","L1;Foundation;Prep;Scope;Executive","Define the in-scope FCI environment including systems, users, devices, networks, and physical locations.","Approved scope statement exists and is referenced by Level 1 work."
Complete Level 1 owner matrix,L1 Foundation,Level 1,Program,Prep,High,Andy Volk,"Ryan Lin; Joshua Hornback; Sulaiman Ahmad","L1_prep_owner_matrix.md; confirmed team roles","L1;Prep;Ownership;Admin","Assign primary and supporting owners for each Level 1 artifact and control family.","Owner matrix is approved and every Level 1 artifact has a named owner."
Build Level 1 evidence index,L1 Foundation,Level 1,Program,Evidence,Critical,Joshua Hornback,"Andy Volk; Sulaiman Ahmad","L1_prep_evidence_index.md; Level 1 artifact inventory","L1;Evidence;Prep;Tracking","Map each of the 17 Level 1 practices to artifacts, proof sources, owners, and review dates.","Every Level 1 practice is mapped to current evidence or a tracked gap."
Run Level 1 gap assessment,L1 Foundation,Level 1,Program,Review,Critical,Joshua Hornback,"Andy Volk; Ryan Lin","L1_prep_gap_assessment_tracker.md; evidence index","L1;Gap;Review;Readiness","Assess all 17 Level 1 practices against the current artifact and operating evidence set.","All Level 1 gaps are recorded with owners, severity, and target dates."
Finalize Level 1 access control policy,L1 Access Control,Level 1,AC,Document,High,Joshua Hornback,"Andy Volk","AC.L1 policy templates; Level 1 scope","L1;AC;Document;Policy","Replace template language with environment-specific access control policy content.","Approved access control policy reflects the live environment."
Validate authorized users and devices,L1 Access Control,Level 1,AC,Implementation,Critical,Joshua Hornback,"Andy Volk","Access control policy; system inventory","L1;AC;Implementation;Evidence","Confirm authorized user and device lists are current and enforceable for in-scope systems.","Authorized user/device records are current and linked in the evidence index."
Validate external access and public posting controls,L1 Access Control,Level 1,AC,Implementation,High,Joshua Hornback,Andy Volk,"AC external access templates; VPN details","L1;AC;Implementation;Evidence","Confirm external system access, VPN configuration, and public posting restrictions are documented and enforced.","External access controls are documented, validated, and evidenced."
Finalize identification and authentication artifacts,L1 Identity,Level 1,IA,Document,High,Joshua Hornback,Sulaiman Ahmad,"IA policy templates; account inventory","L1;IA;Document;Policy","Finalize identification, authentication, and password procedure documents for the live environment.","IA documents are current and approved."
Validate account inventory and authentication controls,L1 Identity,Level 1,IA,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,"IA documents; directory and account data","L1;IA;Implementation;Evidence","Confirm unique identities, account inventory, authentication settings, and password controls are operating.","Account inventory and authentication evidence are current and mapped to practices."
Finalize media disposal and reuse procedures,L1 Media Protection,Level 1,MP,Document,Medium,Andy Volk,Joshua Hornback,"MP policy and reuse procedure templates","L1;MP;Document;Policy","Tailor media disposal and reuse procedures to the actual environment and handling process.","Media handling documents are approved and operationally accurate."
Validate media disposal logs and sanitization,L1 Media Protection,Level 1,MP,Implementation,High,Andy Volk,Joshua Hornback,"Media procedures; disposal process","L1;MP;Implementation;Evidence","Confirm disposal and reuse records exist and media containing FCI is sanitized or destroyed correctly.","Current disposal and sanitization evidence exists for the in-scope environment."
Finalize physical access policy and records,L1 Physical Protection,Level 1,PE,Document,High,Andy Volk,"Ryan Lin; Joshua Hornback","PE templates; site access process","L1;PE;Document;Policy","Finalize physical access policy, visitor procedures, badge records, and access list structure.","Physical access documentation is approved and aligned to actual site operations."
Validate physical access logs and visitor controls,L1 Physical Protection,Level 1,PE,Implementation,High,Andy Volk,Joshua Hornback,"Physical access policy; facilities process","L1;PE;Implementation;Evidence","Confirm visitor escorting, badge control, and access log retention are operating in practice.","Current physical access evidence is collected and linked to Level 1 practices."
Finalize network monitoring and segmentation artifacts,L1 System Comms Protection,Level 1,SC,Document,High,Joshua Hornback,Sulaiman Ahmad,"SC templates; current network architecture","L1;SC;Document;Policy","Finalize network monitoring policy, segmentation policy, and network diagrams.","Network protection artifacts reflect the current environment."
Validate firewall and boundary protections,L1 System Comms Protection,Level 1,SC,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,"SC documents; network and firewall access","L1;SC;Implementation;Evidence","Confirm boundary protections, monitoring, and segmentation are operating for in-scope systems.","Boundary control evidence is current and mapped to Level 1 practices."
Finalize patch and malware management artifacts,L1 System Integrity,Level 1,SI,Document,High,Joshua Hornback,Sulaiman Ahmad,"SI templates; tooling outputs","L1;SI;Document;Policy","Finalize patch management, antivirus management, update policy, and scanning artifact set.","System integrity documents are accurate and approved."
Validate scanning, updates, and remediation evidence,L1 System Integrity,Level 1,SI,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,"SI documents; scan tools; update records","L1;SI;Implementation;Evidence","Confirm patching, scanning, malicious code protection, and update cadence are operating in practice.","Operational SI evidence is current and linked to Level 1 practices."
Prepare Level 1 readiness package,L1 Readiness,Level 1,Program,Deliverable,Critical,Andy Volk,"Joshua Hornback; Ryan Lin","L1 evidence index; gap tracker","L1;Readiness;Deliverable;Executive","Assemble the Level 1 attestation-ready evidence pack and summary for review.","Leadership can review a concise Level 1 readiness package with residual risks."
Confirm Level 2 CUI boundary,L2 Foundation,Level 2,Program,Prep,Critical,Ryan Lin,"Joshua Hornback; Andy Volk; Sulaiman Ahmad","SSP template; handbook; current system inventory","L2;Foundation;Prep;Scope;Executive","Define the in-scope CUI environment including systems, services, users, locations, and data flows.","Approved CUI boundary exists and is reflected in the SSP."
Tailor Level 2 SSP,L2 Foundation,Level 2,SSP,Document,Critical,Joshua Hornback,"Ryan Lin; Andy Volk; Sulaiman Ahmad","CMMC_L2_SSP_062025.md; confirmed CUI scope","L2;SSP;Document;Critical","Rewrite the SSP to reflect the real environment, architecture, owners, trust zones, and data flows.","SSP is environment-specific, current, and approved for readiness work."
Create Level 2 gap register,L2 Foundation,Level 2,Program,Prep,High,Andy Volk,"Joshua Hornback; Sulaiman Ahmad","L2_gap_register.md; repository review","L2;Gap;Prep;Tracking","Maintain the structural gap list for Level 2 readiness and track which working files close which gaps.","All structural Level 2 gaps are listed, owned, and mapped to closure work."
Create missing Level 2 domain artifacts for AC,L2 Missing Domains,Level 2,AC,Document,Critical,Joshua Hornback,"Andy Volk; Sulaiman Ahmad","L2_gap_missing_domain_artifacts.md; SSP","L2;AC;Gap;Document","Create standalone Access Control policy and procedure coverage for Level 2.","AC Level 2 artifacts exist, are mapped to practices, and have named owners."
Create missing Level 2 domain artifacts for IA,L2 Missing Domains,Level 2,IA,Document,Critical,Joshua Hornback,Sulaiman Ahmad,"L2_gap_missing_domain_artifacts.md; SSP","L2;IA;Gap;Document","Create standalone Identification and Authentication policy and procedure coverage for Level 2.","IA Level 2 artifacts exist, are mapped to practices, and have named owners."
Create missing Level 2 domain artifacts for MP,L2 Missing Domains,Level 2,MP,Document,High,Andy Volk,Joshua Hornback,"L2_gap_missing_domain_artifacts.md; SSP","L2;MP;Gap;Document","Create standalone Media Protection policy and procedure coverage for Level 2.","MP Level 2 artifacts exist, are mapped to practices, and have named owners."
Create missing Level 2 domain artifacts for PE,L2 Missing Domains,Level 2,PE,Document,High,Andy Volk,"Ryan Lin; Joshua Hornback","L2_gap_missing_domain_artifacts.md; SSP","L2;PE;Gap;Document","Create standalone Physical Protection policy and procedure coverage for Level 2.","PE Level 2 artifacts exist, are mapped to practices, and have named owners."
Create missing Level 2 domain artifacts for SC,L2 Missing Domains,Level 2,SC,Document,Critical,Joshua Hornback,Sulaiman Ahmad,"L2_gap_missing_domain_artifacts.md; SSP","L2;SC;Gap;Document","Create standalone System and Communications Protection policy and procedure coverage for Level 2.","SC Level 2 artifacts exist, are mapped to practices, and have named owners."
Create missing Level 2 domain artifacts for SI,L2 Missing Domains,Level 2,SI,Document,Critical,Joshua Hornback,Sulaiman Ahmad,"L2_gap_missing_domain_artifacts.md; SSP","L2;SI;Gap;Document","Create standalone System and Information Integrity policy and procedure coverage for Level 2.","SI Level 2 artifacts exist, are mapped to practices, and have named owners."
Create missing Incident Response policy,L2 Missing Domains,Level 2,IR,Document,High,Joshua Hornback,Andy Volk,"Existing IR procedure; SSP","L2;IR;Gap;Document","Create the missing Level 2 Incident Response policy aligned to the existing incident response procedure.","IR policy exists, is approved, and aligns to the procedure and evidence model."
Tailor existing AU artifacts,L2 Existing Domains,Level 2,AU,Document,High,Joshua Hornback,"Andy Volk; Sulaiman Ahmad","Current AU policy/procedure templates","L2;AU;Document;Tailoring","Replace generic template language in the Audit and Accountability artifacts with environment-specific content.","AU documents are tailored, approved, and linked to evidence sources."
Tailor existing AT artifacts,L2 Existing Domains,Level 2,AT,Document,Medium,Andy Volk,Joshua Hornback,"Current AT policy/procedure templates","L2;AT;Document;Tailoring","Replace generic template language in the Awareness and Training artifacts with environment-specific content.","AT documents are tailored, approved, and linked to evidence sources."
Tailor existing CM artifacts,L2 Existing Domains,Level 2,CM,Document,High,Joshua Hornback,Sulaiman Ahmad,"Current CM policy/procedure templates","L2;CM;Document;Tailoring","Replace generic template language in the Configuration Management artifacts with environment-specific content.","CM documents are tailored, approved, and linked to evidence sources."
Tailor existing MA artifacts,L2 Existing Domains,Level 2,MA,Document,Medium,Joshua Hornback,Andy Volk,"Current MA policy/procedure templates","L2;MA;Document;Tailoring","Replace generic template language in the Maintenance artifacts with environment-specific content.","MA documents are tailored, approved, and linked to evidence sources."
Tailor existing PS artifacts,L2 Existing Domains,Level 2,PS,Document,Medium,Andy Volk,Ryan Lin,"Current PS policy/procedure templates","L2;PS;Document;Tailoring","Replace generic template language in the Personnel Security artifacts with environment-specific content.","PS documents are tailored, approved, and linked to evidence sources."
Tailor existing RA artifacts,L2 Existing Domains,Level 2,RA,Document,High,Joshua Hornback,Sulaiman Ahmad,"Current RA policy/procedure templates","L2;RA;Document;Tailoring","Replace generic template language in the Risk Assessment artifacts with environment-specific content.","RA documents are tailored, approved, and linked to evidence sources."
Tailor existing CA artifacts,L2 Existing Domains,Level 2,CA,Document,High,Joshua Hornback,Andy Volk,"Current CA policy/procedure templates","L2;CA;Document;Tailoring","Replace generic template language in the Security Assessment artifacts with environment-specific content.","CA documents are tailored, approved, and linked to evidence sources."
Build Level 2 evidence index,L2 Evidence,Level 2,Program,Evidence,Critical,Joshua Hornback,"Andy Volk; Sulaiman Ahmad","L2_prep_evidence_index.md; SSP; domain artifacts","L2;Evidence;Prep;Tracking","Map all in-scope Level 2 practices to artifacts, proof sources, owners, and review dates.","Every in-scope Level 2 practice has an evidence path or a tracked gap."
Create Level 2 POA&M tracker,L2 Evidence,Level 2,Program,Prep,Critical,Andy Volk,"Joshua Hornback; Ryan Lin; Sulaiman Ahmad","L2_prep_POAM_tracker.md; evidence index","L2;POAM;Gap;Tracking","Track deficiencies, remediation actions, owners, due dates, and closure evidence for Level 2.","All material deficiencies are tracked with owners and closure paths."
Validate identity and privilege controls,L2 Implementation,Level 2,IA,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,"SSP; IA artifacts; AC artifacts","L2;IA;Implementation;Evidence","Validate MFA, unique identity, account lifecycle, least privilege, and privileged access restrictions.","Current identity and privilege evidence exists and is mapped to Level 2 practices."
Validate logging and audit review controls,L2 Implementation,Level 2,AU,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,"AU artifacts; logging platforms","L2;AU;Implementation;Evidence","Validate centralized logging, audit review cadence, retention, and alerting.","Audit evidence and recurring review records are current and traceable."
Validate secure configuration and change controls,L2 Implementation,Level 2,CM,Implementation,High,Joshua Hornback,Sulaiman Ahmad,"CM artifacts; configuration baselines","L2;CM;Implementation;Evidence","Validate baselines, change approvals, emergency changes, and security impact review.","Configuration and change-control evidence is current and mapped to practices."
Validate incident response readiness,L2 Implementation,Level 2,IR,Implementation,High,Joshua Hornback,Andy Volk,"IR policy/procedure; escalation workflow","L2;IR;Implementation;Evidence","Validate incident reporting, escalation, evidence handling, and lessons-learned workflow.","Incident response evidence and test outputs are current and reproducible."
Validate vulnerability, patching, and malware controls,L2 Implementation,Level 2,SI,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,"SI artifacts; tooling outputs","L2;SI;Implementation;Evidence","Validate flaw remediation, vulnerability scanning, malicious code protection, and update cadence.","Operational SI evidence is current and mapped to Level 2 practices."
Validate media and physical protection controls,L2 Implementation,Level 2,"MP;PE",Implementation,High,Andy Volk,Joshua Hornback,"MP/PE artifacts; facilities and media process","L2;MP;PE;Implementation;Evidence","Validate media handling, disposal, visitor handling, site access, and alternate work-site controls.","Media and physical protection evidence is current and mapped to practices."
Validate communications protection and encryption controls,L2 Implementation,Level 2,SC,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,"SC artifacts; network architecture","L2;SC;Implementation;Evidence","Validate protected communications, encryption expectations, segmentation, and remote administration paths.","SC evidence is current and mapped to Level 2 practices."
Run Level 2 mock assessment prep,L2 Readiness,Level 2,Program,Prep,Critical,Andy Volk,"Joshua Hornback; Sulaiman Ahmad; Ryan Lin","L2_prep_mock_assessment_checklist.md; evidence index; POA&M","L2;MockAssessment;Prep;Readiness","Prepare the repository, owners, logistics, and evidence flow for an internal Level 2 mock assessment.","Mock assessment checklist is complete and blockers are identified."
Run internal Level 2 mock assessment,L2 Readiness,Level 2,Program,Review,Critical,Joshua Hornback,"Andy Volk; Ryan Lin; Sulaiman Ahmad","Mock assessment checklist; SSP; evidence index; POA&M","L2;MockAssessment;Review;Readiness","Execute an internal mock assessment against the current Level 2 package and record findings.","Mock assessment is completed and findings are entered into the POA&M."
Prepare executive readiness summary,L2 Readiness,Level 2,Program,Deliverable,High,Ryan Lin,"Andy Volk; Joshua Hornback","Gap register; evidence index; POA&M; mock assessment results","L2;Executive;Deliverable;Readiness","Summarize scope, readiness status, major gaps, and residual risk for leadership review.","Leadership receives an accurate readiness summary with approval decisions and next steps."
