Ticket ID,Epic,Domain,Task Type,Title,Summary,Primary Owner,Depends On,Source Docs,Evidence / Acceptance Criteria,Priority,Status
CMMC-001,Program Setup,PMO,Planning,Confirm CMMC scope and target level,"Confirm whether each in-scope system handles only FCI or also CUI, and lock the program target at Level 2 with Level 1 as the hygiene baseline.",Program Manager,,CMMC_L2_SSP_062025.md,"Scope memo approved; assessment target and in-scope environment documented in SSP.",Critical,Not Started
CMMC-002,System Definition,SSP,Document,Tailor SSP with real boundary and owners,"Replace placeholders in the SSP with actual system names, owners, locations, trust zones, data flows, and in-scope services.",System Owner,CMMC-001,CMMC_L2_SSP_062025.md,"SSP updated with real environment details and approved for working use.",Critical,Not Started
CMMC-003,Asset Governance,CM,Implementation,Build authoritative asset inventory,"Create and maintain a single inventory of endpoints, servers, SaaS platforms, network devices, and security tooling in scope for CUI.",SRE Lead,CMMC-002,"CMMC_L2_SSP_062025.md; ConfigurationManagementPolicyLevel2-3v01a.md; ConfigurationManagementProcedureLevel2-3v01a.md","Inventory exists, has owners, and is referenced by the SSP.",Critical,Not Started
CMMC-004,Executive Governance,PMO,Document,Approve policy review cadence,"Define policy owners, approval authority, review cycle, and document control for all CMMC artifacts.",Program Manager,CMMC-001,"AuditandAccountabilityPolicyLevel2v01a.md; AwarenessandTrainingPolicyLevel2-3v01a.md; ConfigurationManagementPolicyLevel2-3v01a.md; MaintenancePolicyLevel2-3v01a.md; PersonnelSecurityPolicyLevel2-3v01a.md; RiskAssessmentPolicyLevel2-3v01a.md; SecurityAssessmentPolicyLevel2-3v01a.md","Document register and review cadence approved; owners named.",High,Not Started
CMMC-005,Access Control,AC,Document,Create access control policy and procedure,"Add organization-specific AC documentation covering account approval, least privilege, remote access, mobile, wireless, and portable media restrictions.",Security Manager,CMMC-002,CMMC_L2_SSP_062025.md,"AC policy and procedure approved and mapped to SSP practices 3.1.x.",Critical,Not Started
CMMC-006,Access Control,AC,Implementation,Enforce account lifecycle and least privilege,"Implement joiner/mover/leaver workflow, privileged access restrictions, and periodic access reviews for all in-scope systems.",Identity Admin,CMMC-005,"CMMC_L2_SSP_062025.md; PersonnelSecurityProcedureLevel2-3v01a.md","Access workflow documented; review records and role assignments available.",Critical,Not Started
CMMC-007,Access Control,AC,Implementation,Harden remote access paths,"Restrict remote administration to approved methods with MFA, encryption, logging, and documented approval for privileged remote access.",SRE Lead,CMMC-005,CMMC_L2_SSP_062025.md,"Remote access architecture documented; MFA enforced; logs retained.",Critical,Not Started
CMMC-008,Identity,IA,Document,Create identification and authentication procedure,"Document identity proofing, unique IDs, password or authenticator requirements, MFA expectations, and service account handling.",Security Manager,CMMC-002,CMMC_L2_SSP_062025.md,"IA procedure approved and referenced by operations team.",Critical,Not Started
CMMC-009,Identity,IA,Implementation,Validate MFA and unique identity coverage,"Confirm all in-scope admin and user access uses unique identities and MFA where required by policy and system design.",Identity Admin,CMMC-008,CMMC_L2_SSP_062025.md,"Control matrix shows MFA and unique identity coverage for each system.",Critical,Not Started
CMMC-010,Audit Operations,AU,Document,Tailor audit policy and procedure,"Update AU templates to reflect real log sources, review roles, retention expectations, and alert thresholds.",Security Manager,CMMC-002,"AuditandAccountabilityPolicyLevel2v01a.md; AuditandAccountabilityProcedureLevel2v01a.md","Approved AU documents reflect actual monitoring stack and process.",Critical,Not Started
CMMC-011,Audit Operations,AU,Implementation,Centralize audit logging,"Ensure critical systems send security-relevant logs to a central platform with time sync, retention, and role-based access.",SRE Lead,CMMC-010,"AuditandAccountabilityProcedureLevel2v01a.md; CMMC_L2_SSP_062025.md","Central log coverage defined; retention and access settings evidenced.",Critical,Not Started
CMMC-012,Audit Operations,AU,Implementation,Establish audit review cadence,"Create recurring review process for privileged actions, authentication failures, administrative changes, and security events.",Security Analyst,CMMC-011,AuditandAccountabilityProcedureLevel2v01a.md,"Recurring review records exist and exceptions are tracked.",High,Not Started
CMMC-013,Configuration Control,CM,Document,Tailor configuration management documents,"Update CM policy and procedure to define baselines, change approvals, emergency changes, and security impact analysis.",SRE Lead,CMMC-002,"ConfigurationManagementPolicyLevel2-3v01a.md; ConfigurationManagementProcedureLevel2-3v01a.md","Approved CM documents define the real change path.",Critical,Not Started
CMMC-014,Configuration Control,CM,Implementation,Define secure baselines for in-scope systems,"Publish baseline configurations for endpoints, servers, cloud services, identity providers, and network components.",SRE Lead,CMMC-013,"ConfigurationManagementProcedureLevel2-3v01a.md; CMMC_L2_SSP_062025.md","Baseline standards exist and are mapped to asset classes.",Critical,Not Started
CMMC-015,Configuration Control,CM,Implementation,Implement formal change control,"Track infrastructure and security-impacting changes in tickets with approval, testing, rollback, and evidence retention.",SRE Lead,CMMC-013,ConfigurationManagementProcedureLevel2-3v01a.md,"Sample change tickets show approval, testing, and closure evidence.",Critical,Not Started
CMMC-016,Maintenance,MA,Document,Tailor maintenance policy and procedure,"Define approved maintenance methods, remote maintenance safeguards, tool control, and maintenance logging.",IT Operations,CMMC-002,"MaintenancePolicyLevel2-3v01a.md; MaintenanceProcedureLevel2-3v01a.md","MA documents approved with named maintainers and logging expectations.",High,Not Started
CMMC-017,Maintenance,MA,Implementation,Control privileged maintenance activity,"Ensure maintenance sessions are authorized, logged, and limited to approved personnel and methods.",IT Operations,CMMC-016,MaintenanceProcedureLevel2-3v01a.md,"Maintenance records demonstrate approval and traceability.",High,Not Started
CMMC-018,Training,AT,Document,Tailor awareness and training documents,"Update AT templates for role-based training, insider threat content, and frequency for admins, users, and executives.",Program Manager,CMMC-002,"AwarenessandTrainingPolicyLevel2-3v01a.md; AwarenessandTrainingProcedureLevel2-3v01a.md","AT documents approved with role assignments and annual cadence.",High,Not Started
CMMC-019,Training,AT,Implementation,Launch CMMC-aligned training program,"Deliver baseline security awareness and role-based training for privileged users, incident responders, and managers.",HR or Security,CMMC-018,"AwarenessandTrainingProcedureLevel2-3v01a.md; PersonnelSecurityProcedureLevel2-3v01a.md","Training completion records and content inventory available.",High,Not Started
CMMC-020,Personnel Security,PS,Document,Tailor personnel security documents,"Update PS templates for screening, onboarding, transfer, and termination actions tied to system access.",HR or Security,CMMC-002,"PersonnelSecurityPolicyLevel2-3v01a.md; PersonnelSecurityProcedureLevel2-3v01a.md","PS documents approved and integrated with access lifecycle.",High,Not Started
CMMC-021,Personnel Security,PS,Implementation,Operationalize onboarding and termination controls,"Ensure background screening, acceptable use acknowledgement, and timely deprovisioning are consistently executed.",HR or Security,CMMC-020,PersonnelSecurityProcedureLevel2-3v01a.md,"Completed onboarding and termination samples show control execution.",High,Not Started
CMMC-022,Incident Response,IR,Document,Tailor incident response procedure,"Update the IR procedure to include severity definitions, reporting paths, communications, evidence handling, and lessons learned.",Security Manager,CMMC-002,IncidentResponseProcedureLevel2-3v01a.md,"IR procedure approved with contacts, triggers, and escalation path.",Critical,Not Started
CMMC-023,Incident Response,IR,Implementation,Run incident response exercise,"Test the incident workflow with a tabletop or live simulation tied to a realistic CUI-impacting scenario.",Security Manager,CMMC-022,IncidentResponseProcedureLevel2-3v01a.md,"Exercise completed; actions and improvements documented.",High,Not Started
CMMC-024,Risk Management,RA,Document,Tailor risk assessment documents,"Update RA documents to define assessment cadence, scoring, ownership, treatment options, and review path.",Program Manager,CMMC-002,"RiskAssessmentPolicyLevel2-3v01a.md; RiskAssessmentProcedureLevel2-3v01a.md","RA documents approved and linked to remediation workflow.",Critical,Not Started
CMMC-025,Risk Management,RA,Implementation,Perform baseline Level 2 gap assessment,"Assess implemented controls against all applicable Level 2 practices and record remediation items.",Security Manager,CMMC-024,"RiskAssessmentProcedureLevel2-3v01a.md; CMMC_L2_SSP_062025.md","Gap register or POA&M exists with owners and dates.",Critical,Not Started
CMMC-026,Assessment Readiness,CA,Document,Tailor security assessment documents,"Update CA documents to define internal review cadence, assessor support materials, and remediation verification.",Program Manager,CMMC-002,"SecurityAssessmentPolicyLevel2-3v01a.md; SecurityAssessmentProcedureLevel2-3v01a.md","CA documents approved and linked to readiness process.",High,Not Started
CMMC-027,Assessment Readiness,CA,Implementation,Build evidence index by practice,"Create a practice-by-practice evidence register tying each Level 2 requirement to artifacts, owners, and storage locations.",Program Manager,CMMC-025,"SecurityAssessmentProcedureLevel2-3v01a.md; CMMC_L2_SSP_062025.md","Evidence index covers all in-scope Level 2 practices.",Critical,Not Started
CMMC-028,Media Protection,MP,Document,Create media protection policy and procedure,"Document labeling, storage, transport, sanitization, backup media handling, and restrictions on portable storage for CUI.",Security Manager,CMMC-002,CMMC_L2_SSP_062025.md,"MP policy and procedure approved and mapped to SSP media practices.",Critical,Not Started
CMMC-029,Media Protection,MP,Implementation,Control removable media and backups,"Implement restrictions and handling procedures for removable media, backup exports, and CUI-containing artifacts.",IT Operations,CMMC-028,CMMC_L2_SSP_062025.md,"Media handling records and technical restrictions are evidenced.",Critical,Not Started
CMMC-030,Physical Protection,PE,Document,Create physical protection procedure set,"Document facility access, visitor escorting, logs, workstation protections, and alternate work site rules for CUI.",Facilities or IT,CMMC-002,CMMC_L2_SSP_062025.md,"PE procedure approved with site-specific controls and roles.",High,Not Started
CMMC-031,Physical Protection,PE,Implementation,Validate physical access controls,"Verify badges, locks, visitor logs, camera coverage where used, and secure alternate work site expectations.",Facilities or IT,CMMC-030,CMMC_L2_SSP_062025.md,"Physical control samples and site records are retained.",High,Not Started
CMMC-032,System Protection,SC,Document,Create system and communications protection standards,"Document boundary protections, encryption expectations, network segmentation, session protection, and CUI transmission safeguards.",SRE Lead,CMMC-002,CMMC_L2_SSP_062025.md,"SC standards approved and reflected in architecture documentation.",Critical,Not Started
CMMC-033,System Protection,SC,Implementation,Validate encryption and boundary protections,"Confirm approved cryptography for CUI in transit and at rest where applicable, plus segmentation and protected administration paths.",SRE Lead,CMMC-032,CMMC_L2_SSP_062025.md,"Architecture evidence and config samples prove protections are active.",Critical,Not Started
CMMC-034,System Integrity,SI,Document,Create system and information integrity procedure,"Document vulnerability management, malicious code protection, flaw remediation, and security alert handling.",Security Manager,CMMC-002,CMMC_L2_SSP_062025.md,"SI procedure approved with scan, patch, and exception workflow.",Critical,Not Started
CMMC-035,System Integrity,SI,Implementation,Stand up vulnerability and patch cadence,"Define routine scanning, patch windows, exception handling, and verification for in-scope systems.",SRE Lead,CMMC-034,CMMC_L2_SSP_062025.md,"Scan reports, patch records, and exception tracking are available.",Critical,Not Started
CMMC-036,Readiness,CA,Review,Run internal mock assessment,"Conduct a dry run against the SSP, policies, procedures, and evidence set before formal assessment activity.",Program Manager,CMMC-027,"SecurityAssessmentProcedureLevel2-3v01a.md; CMMC_L2_SSP_062025.md","Mock assessment report completed; final remediation items assigned.",Critical,Not Started
